본부코드	팀코드	담당자코드	매체	key	계정	소진액	ams소진액	불가사유	광고주명
927	1200	1271	NAVER	NAVERahj3345	ahj3345	339790	#N/A	#N/A	세라피쇼파
928	1202	51	NAVER	NAVERansgmlgh1	ansgmlgh1	28020	#N/A	#N/A	에코나노
928	1184	1548	NAVER	NAVERaphesis	aphesis	522430	#N/A	#N/A	로앤법무사사무소
926	1207	201104	NAVER	NAVERcafeeseo	cafeeseo	187222	#N/A	#N/A	카페이서(홍천점)
928	1202	929	NAVER	NAVERdae02016	dae02016	181480	#N/A	#N/A	대영벽지
928	1202	25	NAVER	NAVERdiro1031	diro1031	270	#N/A	#N/A	CJ헬로
928	1202	898	NAVER	NAVERheidian7	heidian7	2850	#N/A	#N/A	하이디펜션
926	1207	1328	NAVER	NAVERheypay	heypay	1860	#N/A	#N/A	주식회사 헤이페이
928	1202	1040	NAVER	NAVERjackal5510	jackal5510	-200	#N/A	#N/A	우성코리아
927	1200	1271	NAVER	NAVERlauraclassy:naver	lauraclassy:naver	270070	#N/A	#N/A	로라컴퍼니
928	1184	1274	NAVER	NAVERmoonsr68	moonsr68	915998	#N/A	#N/A	한톨
928	1202	939	NAVER	NAVERnotehouse	notehouse	988270	#N/A	#N/A	라이트하우스
928	1202	1211	NAVER	NAVERojinger77	ojinger77	87580	#N/A	#N/A	토바펜션
928	1202	652	NAVER	NAVERrenoma2716	renoma2716	50985	#N/A	#N/A	팩토리아울렛
928	1202	933	NAVER	NAVERrose2213:naver	rose2213:naver	286500	#N/A	#N/A	비아베뉴헤어살롱
928	1184	914	NAVER	NAVERysupdent:naver	ysupdent:naver	2990	#N/A	#N/A	연세유펜치과
928	1202	25	KAKAO	KAKAO297854	297854	6540	#N/A	#N/A	클린하수구
928	1184	201004	KAKAO	KAKAO300171	300171	25970	#N/A	#N/A	폐금나라
927	1200	930	KAKAO	KAKAO300251	300251	1366350	#N/A	#N/A	블라인드나라
927	1200	930	KAKAO	KAKAO300267	300267	4820	#N/A	#N/A	구구팩
928	1184	201004	KAKAO	KAKAO300825	300825	316150	#N/A	#N/A	미풀
926	964	1616	KAKAO	KAKAO300977	300977	1496620	#N/A	#N/A	단디헬퍼(우리휴먼텍)
926	964	1616	KAKAO	KAKAO301061	301061	292910	#N/A	#N/A	세이프시터
928	1184	201004	KAKAO	KAKAO301788	301788	3320	#N/A	#N/A	에스한의원
926	1207	201011	KAKAO	KAKAO302103	302103	700	#N/A	#N/A	신수림한의원
928	1184	201004	KAKAO	KAKAO302345	302345	310	#N/A	#N/A	시공플러스
928	1184	1548	KAKAO	KAKAO303517	303517	23440	#N/A	#N/A	베뉴지 웨딩홀
928	1202	251	KAKAO	KAKAO305014	305014	139220	#N/A	#N/A	(주)씨디네트웍스
928	1184	1548	KAKAO	KAKAO305894	305894	4460	#N/A	#N/A	대명씨엔에스
928	1184	201004	KAKAO	KAKAO305990	305990	47580	#N/A	#N/A	예건산업
928	1184	1548	KAKAO	KAKAO306055	306055	67480	#N/A	#N/A	공간산업
926	1207	200982	KAKAO	KAKAO306068	306068	36340	#N/A	#N/A	썬앤비(아방스)
926	1207	201011	KAKAO	KAKAO306158	306158	186700	#N/A	#N/A	우성고압산업
926	1207	200982	KAKAO	KAKAO306240	306240	45420	#N/A	#N/A	서울용접배관기술학원
928	1184	1548	KAKAO	KAKAO306284	306284	29760	#N/A	#N/A	네이버하비코리아
928	1184	1548	KAKAO	KAKAO306535	306535	250920	#N/A	#N/A	세이프모터스
928	1184	201004	KAKAO	KAKAO306722	306722	200	#N/A	#N/A	충주농원
926	964	200998	KAKAO	KAKAO306969	306969	21230	#N/A	#N/A	동양컴퓨터자수
928	1184	201004	KAKAO	KAKAO307333	307333	26110	#N/A	#N/A	경인산업
928	1184	201004	KAKAO	KAKAO307573	307573	86560	#N/A	#N/A	동림셔터
928	1202	25	KAKAO	KAKAO307856	307856	4570	#N/A	#N/A	프레버
926	964	200998	KAKAO	KAKAO308955	308955	1460	#N/A	#N/A	약손안마원
928	1184	1548	KAKAO	KAKAO309213	309213	6250	#N/A	#N/A	JFS인더스트리
928	1184	1548	KAKAO	KAKAO309288	309288	70	#N/A	#N/A	대흥디엔씨
926	1207	201011	KAKAO	KAKAO309529	309529	5100	#N/A	#N/A	왕건마을펜션
928	1184	917	KAKAO	KAKAO311164	311164	7120	#N/A	#N/A	수지요양병원
928	1184	917	KAKAO	KAKAO311299	311299	14180	#N/A	#N/A	화순현대요양병원
928	1202	25	KAKAO	KAKAO312210	312210	31600	#N/A	#N/A	한샘과학
928	1202	25	KAKAO	KAKAO312212	312212	19040	#N/A	#N/A	이안과학
926	1207	200982	KAKAO	KAKAO312484	312484	30530	#N/A	#N/A	엘이디존
1204	1205	201073	KAKAO	KAKAO312846	312846	182980	#N/A	#N/A	내쇼날경기산업
928	1184	201004	KAKAO	KAKAO314157	314157	99280	#N/A	#N/A	무지개환경
928	1202	25	KAKAO	KAKAO314893	314893	359270	#N/A	#N/A	이안아트
928	1184	201004	KAKAO	KAKAO317232	317232	1000	#N/A	#N/A	유일테크
926	964	1616	KAKAO	KAKAO317478	317478	670	#N/A	#N/A	태영커뮤니케이션즈
926	1207	200982	KAKAO	KAKAO319707	319707	3160	#N/A	#N/A	구로레이저
928	1202	25	KAKAO	KAKAO319934	319934	10070	#N/A	#N/A	중앙국제결혼
928	1202	25	KAKAO	KAKAO319960	319960	168710	#N/A	#N/A	럭셔리 디자인
928	1202	25	KAKAO	KAKAO319975	319975	26970	#N/A	#N/A	한국알파항공
928	1202	25	KAKAO	KAKAO319990	319990	5710	#N/A	#N/A	주식회사 에바다
928	1202	25	KAKAO	KAKAO320710	320710	127070	#N/A	#N/A	세명전기
928	1202	939	KAKAO	KAKAO321025	321025	42640	#N/A	#N/A	광성사
928	1202	251	KAKAO	KAKAO322037	322037	468730	#N/A	#N/A	오행생식
928	1184	1548	KAKAO	KAKAO323277	323277	37940	#N/A	#N/A	현대탈수기
928	1202	25	KAKAO	KAKAO323635	323635	135230	#N/A	#N/A	현수막팩토리
928	1184	917	KAKAO	KAKAO323848	323848	360	#N/A	#N/A	팀스텔레콤
928	1202	251	KAKAO	KAKAO323876	323876	31620	#N/A	#N/A	피지텍코리아
928	1202	25	KAKAO	KAKAO323922	323922	99050	#N/A	#N/A	서강건업
926	964	200998	KAKAO	KAKAO326992	326992	5860	#N/A	#N/A	플로우마스터코리아
928	1202	25	KAKAO	KAKAO327222	327222	490	#N/A	#N/A	유니트론보청기 인천서구점
927	1200	1012	KAKAO	KAKAO327366	327366	7910	#N/A	#N/A	한국아동요리지도자협회
926	1207	201011	KAKAO	KAKAO329876	329876	420740	#N/A	#N/A	법무법인고운
926	964	1616	KAKAO	KAKAO330569	330569	34740	#N/A	#N/A	블루오토미션
928	1202	251	KAKAO	KAKAO330684	330684	66090	#N/A	#N/A	태영전자
928	1202	251	KAKAO	KAKAO331307	331307	70	#N/A	#N/A	상아시스템
928	1202	251	KAKAO	KAKAO333182	333182	70	#N/A	#N/A	비앤씨베이커스
928	1202	25	KAKAO	KAKAO333700	333700	8700	#N/A	#N/A	세종다발관
927	1200	551	KAKAO	KAKAO333726	333726	10330	#N/A	#N/A	현대금속
928	1202	251	KAKAO	KAKAO336515	336515	163180	#N/A	#N/A	효자실버요양원
928	1184	201004	KAKAO	KAKAO337362	337362	22240	#N/A	#N/A	현대러버텍
928	1202	251	KAKAO	KAKAO338922	338922	47750	#N/A	#N/A	진영건축
926	1207	201103	KAKAO	KAKAO341865	341865	104440	#N/A	#N/A	월드엔지니어링
928	1202	25	KAKAO	KAKAO406796	406796	48670	#N/A	#N/A	짱아빠
926	964	200998	KAKAO	KAKAO427163	427163	410	#N/A	#N/A	대전중기
928	1184	201022	KAKAO	KAKAO457524	457524	35290	#N/A	#N/A	예원특수인쇄
927	1200	1271	KAKAO	KAKAO467917	467917	150060	#N/A	#N/A	엠엔이씨
928	1202	1216	모먼트	모먼트122472	122472	51450	#N/A	#N/A	튼튼마켓
927	1200	930	모먼트	모먼트138725	138725	670945	#N/A	#N/A	주식회사티엠나인
927	1200	930	모먼트	모먼트146436	146436	1746000	#N/A	#N/A	라라뷰
928	935	2	모먼트	모먼트154181	154181	67096800	#N/A	#N/A	(주)지에스홈쇼핑
