본부,팀,담당자,광고주명,매체,계정
928,1202,25,클린하수구,KAKAO,297854
928,1202,939,모아저축은행,KAKAO,298364
928,1184,201004,폐금나라,KAKAO,300171
927,1200,930,블라인드나라,KAKAO,300251
928,1184,201004,미풀,KAKAO,300825
926,964,1616,단디헬퍼(우리휴먼텍),KAKAO,300977
926,964,1616,세이프시터,KAKAO,301061
928,1184,201004,에스한의원,KAKAO,301788
926,1207,201011,신수림한의원,KAKAO,302103
928,1184,1548,베뉴지 웨딩홀,KAKAO,303517
928,1202,939,누리플라스틱,KAKAO,304759
928,1202,251,(주)씨디네트웍스,KAKAO,305014
928,1184,1548,대명씨엔에스,KAKAO,305894
928,1184,201004,예건산업,KAKAO,305990
928,1184,1548,공간산업,KAKAO,306055
926,1207,200982,썬앤비(아방스),KAKAO,306068
926,1207,201011,우성고압산업,KAKAO,306158
926,1207,200982,서울용접배관기술학원,KAKAO,306240
928,1184,1548,네이버하비코리아,KAKAO,306284
928,1184,1548,세이프모터스,KAKAO,306535
926,964,200998,동양컴퓨터자수,KAKAO,306969
928,1184,201004,경인산업,KAKAO,307333
928,1184,201004,동림셔터,KAKAO,307573
928,1202,25,프레버,KAKAO,307856
926,964,200998,약손안마원,KAKAO,308955
928,1184,1548,JFS인더스트리,KAKAO,309213
928,1184,1548,대흥디엔씨,KAKAO,309288
926,1207,201011,왕건마을펜션,KAKAO,309529
928,1202,939,헤세드,KAKAO,309899
928,1184,917,수지요양병원,KAKAO,311164
928,1184,917,화순현대요양병원,KAKAO,311299
928,1202,939,(주)에일리언테크놀로지아시아,KAKAO,312032
928,1202,25,이안과학,KAKAO,312210
928,1202,25,이안과학,KAKAO,312212
926,1207,200982,엘이디존,KAKAO,312484
1204,1205,201073,내쇼날경기산업,KAKAO,312846
926,1207,201011,골드라인파렛텍,KAKAO,313738
927,1200,1271,헝크,KAKAO,313983
928,1184,201004,무지개환경,KAKAO,314157
928,1202,25,이안아트,KAKAO,314893
928,1184,201004,유일테크,KAKAO,317232
1204,1205,201073,(주)미디어로그,KAKAO,317325
926,964,1616,태영커뮤니케이션즈,KAKAO,317478
928,1202,25,중앙국제결혼,KAKAO,319934
928,1202,25,한국알파항공,KAKAO,319975
928,1202,25,주식회사 에바다,KAKAO,319990
928,1202,939,현대기획 명찰나라,KAKAO,320178
928,1202,939,현대세이프티,KAKAO,320648
928,1202,939,석예,KAKAO,320697
928,1202,25,세명전기,KAKAO,320710
928,1202,939,광성사,KAKAO,321025
928,1202,251,오행생식,KAKAO,322037
926,964,1616,꼭두일러스트교육원,KAKAO,323595
928,1202,25,현수막팩토리,KAKAO,323635
928,1184,917,팀스텔레콤,KAKAO,323848
928,1202,251,피지텍코리아,KAKAO,323876
928,1202,25,서강건업,KAKAO,323922
928,1202,939,아이엔지건축 별하건설,KAKAO,326387
928,1202,939,부산어망상사,KAKAO,326652
926,964,200998,플로우마스터코리아,KAKAO,326992
928,1202,25,유니트론보청기 인천서구점,KAKAO,327222
928,1202,939,(주)휴먼비투비/휴먼이엔씨,KAKAO,327261
927,1200,1012,한국아동요리지도자협회,KAKAO,327366
928,1202,939,화인,KAKAO,327497
928,1202,251,두리농산,KAKAO,329254
926,1207,201011,법무법인고운,KAKAO,329876
928,1202,939,신한,KAKAO,330212
928,1202,251,태영전자,KAKAO,330684
928,1202,251,상아시스템,KAKAO,331307
928,1202,251,비앤씨베이커스,KAKAO,333182
928,1202,25,세종다발관,KAKAO,333700
927,1200,551,현대금속,KAKAO,333726
928,1202,251,대경디자인조각,KAKAO,334022
926,1207,201011,(주)웰마이크로텍,KAKAO,335867
928,1202,251,효자실버요양원,KAKAO,336515
928,1184,201004,현대러버텍,KAKAO,337362
928,1202,939,우진메이킹,KAKAO,346041
927,1200,551,쇼핑크루,KAKAO,373995
928,1202,939,이벤트월드,KAKAO,389819
928,1202,25,짱아빠,KAKAO,406796
926,964,200998,대전중기,KAKAO,427163
928,1184,201022,예원특수인쇄,KAKAO,457524
927,1200,1271,엠엔이씨,KAKAO,467917
927,1200,201038,아르떼베딩,KAKAO,485630
927,1200,930,부페마트,KAKAO,501488
927,1200,201038,블랑코컴퍼니,KAKAO,503444
927,1200,930,주식회사티엠나인,모먼트,138725
927,1200,930,라라뷰,모먼트,146436
927,1200,201116,비조스,모먼트,150299
928,935,2,(주)교원크리에이티브,모먼트,156715
1204,1205,201073,(주)미디어로그,모먼트,276004
928,1184,1548,제이코스에이치엠 /지오마/ 마르마르디,모먼트,296414
927,1200,201116,비조스,모먼트,402860
928,935,2,코스네이처,모먼트,424123
928,935,2,(주)교원크리에이티브,모먼트,451275
928,1184,201022,골든비치리조트,모먼트,454992
928,1202,251,두리농산,모먼트,47326
926,1207,201104,한일공업변압기,모먼트,47575
809,810,201032,헤어워크,모먼트,495789
928,1202,939,(주)에일리언테크놀로지아시아,모먼트,63907
928,1202,25,한국알파항공,모먼트,70060
926,1207,201104,주식회사 이퀄스킨 (스킨스쿨),모먼트,94461
928,1202,25,샐러디,모먼트,99234
