부문,팀,담당자,광고주,매체,계정명,"해당 광고주에게 권한을 받은 카카오 광고 관리 계정을
AMS에 로그인 또는 재로그인 해주세요.",권한,권한 불가 사유
928,1184,201004,미풀,KAKAO,300825,,,
926,964,1616,단디헬퍼(우리휴먼텍),KAKAO,300977,,,
926,964,1616,세이프시터,KAKAO,301061,,,
928,1184,1548,베뉴지 웨딩홀,KAKAO,303517,,,
928,1184,1548,대명씨엔에스,KAKAO,305894,,,
928,1184,1548,공간산업,KAKAO,306055,,,
928,1184,1548,네이버하비코리아,KAKAO,306284,,,
928,1184,1548,세이프모터스,KAKAO,306535,,,
928,1184,362,약손안마원,KAKAO,308955,,,
928,1184,1548,JFS인더스트리,KAKAO,309213,,,
928,1184,1548,대흥디엔씨,KAKAO,309288,,,
928,1184,917,수지요양병원,KAKAO,311164,,,
928,966,1617,동남탱크보트,KAKAO,316909,,,
926,964,1616,태영커뮤니케이션즈,KAKAO,317478,,,
928,966,1617,아름다운농원,KAKAO,317480,,,
928,966,1617,청림원,KAKAO,317483,,,
928,1202,933,엔젤녹즙기,KAKAO,317484,,,
928,1184,362,제일나염,KAKAO,318523,,,
928,1184,201043,동성철망공업 주식회사,KAKAO,319957,,,
928,1202,929,성지드림보험대리점,KAKAO,320022,,,
928,1184,362,렉스,KAKAO,320108,,,
928,1184,1548,현대탈수기,KAKAO,323277,,,
928,1184,9,(주)비즈제이,KAKAO,323538,,,
928,1184,362,플로우시스템,KAKAO,327123,,,
927,1200,1012,한국아동요리지도자협회,KAKAO,327366,,,
926,964,1616,블루오토미션,KAKAO,330569,,,
928,1202,251,상아시스템,KAKAO,331307,,,
928,966,1617,비씨워터젯,KAKAO,338844,,,
928,1184,201022,예원특수인쇄,KAKAO,457524,,,
928,1184,201022,유디팩토리,KAKAO,461180,,,
928,1202,201009,반려라이프,모먼트,117838,,,
926,1207,201037,매드디자인,모먼트,189723,,,
1204,1205,201073,(주)휴온스푸디언스,모먼트,195095,,,
926,1207,201011,리오홀딩스(저스트크래프트),모먼트,243069,,,
928,935,2,벨르랑코,모먼트,250983,,,
928,1202,81,올리비움산후조리원,모먼트,267424,,,
928,935,2,(주)미디어로그,모먼트,276004,,,
927,1200,566,스마트인피니,모먼트,334512,,,
1204,1205,201073,(주)이엘라이즈,모먼트,389780,,,
926,1207,201037,꾸디,모먼트,401692,,,
928,1202,50,세렝게티,모먼트,414688,,,
928,1184,201004,광주랜드3공인중개사전문학원,모먼트,41929,,,
928,1184,200969,코스네이처,모먼트,424123,,,
1204,1205,201018,(주)이엘라이즈,모먼트,432463,,,
926,1207,201071,슬립노마드,모먼트,445914,,,
928,1184,200939,(주)교원크리에이티브,모먼트,451275,,,
927,1200,930,핸프,모먼트,453740,,,
928,1184,201022,골든비치리조트,모먼트,454992,,,
928,1202,895,비전원격평생교육원,모먼트,55517,,,
928,1202,25,샐러디,모먼트,99234,,,
