본부코드,팀코드,담당자코드,광고주명,매체,계정,마스터 계정(mskimkim) 권한 요청,요청 불가 사유
928,1202,939,아산그라시아펜션,NAVER,1034394813,,
928,1184,914,sm수미산업,NAVER,1054551482,,
928,1202,938,태능쇼핑백,NAVER,24333607,,
809,810,201032,토담,NAVER,2545,,
928,1202,895,파주민통선원주민공인중개사사무소,NAVER,319531315,,
928,1202,938,(주)대성산업개발,NAVER,0482ds:naver,,
927,1200,201038,엔젤사진관,NAVER,1004photos,,
928,1202,1040,신일수산,NAVER,11444gyn,,
928,1202,933,동남탱크보트,NAVER,114boat,,
928,1202,51,에듀인쇄기획,NAVER,114print,,
927,1200,551,웰데이,NAVER,1991ehdus,,
928,1184,914,성진상사,NAVER,1angle,,
927,1200,57,주청과,NAVER,21c40mj:naver,,
928,1202,81,한국종합개발,NAVER,21jyh,,
928,1202,25,런전자,NAVER,21run,,
928,1202,26,247핏,NAVER,247fit,,
928,1202,898,24클린솔루션,NAVER,24solution:naver,,
928,1184,1274,금강만물,NAVER,2727kl,,
928,1202,81,고려이앤아이,NAVER,3005kt,,
926,1207,201037,(주)삼일레이저,NAVER,31laser,,
928,1184,9,한국레이저정밀,NAVER,3220051,,
928,1184,914,삼방산건강원,NAVER,3333245,,
928,1184,201004,신세기유학원,NAVER,3535jinny,,
928,1202,806,"홍익인간(결On, 결온, 장가가유)",NAVER,3645119,,
926,1207,201037,365리빙,NAVER,365living,,
926,1207,201011,쓰리지에프,NAVER,3gforever,,
928,1202,251,44바라기,NAVER,44baraki,,
927,1200,33,이미지라인,NAVER,5759ppgg,,
927,1200,1271,옻칠공예,NAVER,57jbh:naver,,
926,1207,201037,오팔집,NAVER,58jeap,,
928,1202,895,양향자푸드앤코디아카데미,NAVER,711rokmc,,
928,1202,50,혜정속기사,NAVER,7145755,,
928,1202,806,드림환경자원,NAVER,720426-:naver,,
927,1200,57,빌딩로그인,NAVER,7410sin,,
928,1202,938,새마을환경,NAVER,8325saemaul,,
928,1202,25,현수막팩토리,NAVER,838306,,
809,810,201021,누브네 한결축산,NAVER,8615694:naver,,
928,1202,939,ksa한국체대입시학원,NAVER,9965611,,
926,964,200998,조은소리보청기 광주,NAVER,999shot,,
927,1200,930,구구팩,NAVER,99pack,,
928,1202,939,힙스,NAVER,a000hl,,
927,1200,1271,디자인하다,NAVER,a0515kyh:naver,,
928,1184,9,대한웅변연합회(성현스피치아카데미),NAVER,a30003722,,
928,1202,939,제빙기hm유통,NAVER,a608985,,
928,1184,917,에이비씨상사(주),NAVER,abc,,
928,1202,251,주식회사 디엔,NAVER,ablebb,,
928,1202,201009,에어바운스천국,NAVER,abnc2235:naver,,
809,810,1349,스카이(sky)학원,NAVER,academy1230,,
927,1200,930,주식회사액센트리,NAVER,accentri82,,
928,1202,806,더스트헌터,NAVER,acemach,,
926,1207,200980,엑제트코리아,NAVER,aczetkorea,,
928,1202,929,애드인아트,NAVER,adinart,,
928,1184,1274,라이트존,NAVER,advantrue,,
928,1202,81,성남이사,NAVER,ady6185,,
926,1207,200980,이지스씰링테크놀로지,NAVER,aegisseal,,
928,1184,9,조혜원아동상담센터,NAVER,aeya,,
928,1184,1548,에이펙,NAVER,afec,,
928,1202,1040,에이에프지,NAVER,afg,,
928,1184,201004,아프리카안경 합정점,NAVER,africahj213,,
928,1202,51,개인택시정보센터,NAVER,aganaa4271,,
928,1202,251,에이지엘 주식회사,NAVER,agltiger,,
927,1200,1271,세라피쇼파,NAVER,ahj3345,,
928,1202,50,유퍼스트몰,NAVER,ahrcian,,
928,1202,806,아이마코리아,NAVER,aimakorea,,
926,1207,201011,에이아이엠,NAVER,aimkor,,
926,1207,201011,영풍크린테크,NAVER,aircenter,,
928,1202,1040,에어코세아,NAVER,aircosea,,
928,1184,9,아전이엔지,NAVER,ajeon10,,
928,1202,898,ak웹서비스,NAVER,akwebservice,,
927,1200,930,알구고(JW 생활건강),NAVER,algu0429,,
928,1202,939,(주)에일리언테크놀로지아시아,NAVER,alienasia,,
928,1202,898,모든날기프트,NAVER,alldaygift,,
927,1200,930,올인포케이,NAVER,allinfok,,
928,1202,895,동방하이테크상사,NAVER,allpump,,
927,1200,817,주식회사 상단,NAVER,allta_328:naver,,
927,1200,1012,(주)와이컬렉션,NAVER,alltrendmall,,
928,1202,939,전신물산,NAVER,alltrust,,
926,1207,201037,알파동물메디컬센터,NAVER,alphaamc:naver,,
928,1202,938,청춘욕실,NAVER,alsdn2233,,
928,1202,806,하나철거,NAVER,alstjr240,,
927,1200,201038,카페목화,NAVER,alswb0808:naver,,
928,1202,652,콤마씨,NAVER,alswjd7590,,
