부문,팀,담당자,광고주,매체,계정명,"해당 광고주에게 권한을 받은 카카오 광고 관리 계정을
AMS에 로그인 또는 재로그인 해주세요.",권한,권한 불가 사유
928,1184,201004,미풀,KAKAO,300825,,,
926,964,1616,단디헬퍼(우리휴먼텍),KAKAO,300977,,,
926,964,1616,세이프시터,KAKAO,301061,,,
928,1202,806,(주)비원오피스,KAKAO,302004,,,
928,1184,1548,베뉴지 웨딩홀,KAKAO,303517,,,
928,1184,1548,대명씨엔에스,KAKAO,305894,,,
928,1184,1548,공간산업,KAKAO,306055,,,
928,1184,1548,네이버하비코리아,KAKAO,306284,,,
928,1184,1548,세이프모터스,KAKAO,306535,,,
926,964,200998,약손안마원,KAKAO,308955,,,
928,1184,1548,JFS인더스트리,KAKAO,309213,,,
928,1184,1548,대흥디엔씨,KAKAO,309288,,,
928,1202,933,동남탱크보트,KAKAO,316909,,,
928,1202,806,문화사무기_신도,KAKAO,317300,,,
926,964,1616,태영커뮤니케이션즈,KAKAO,317478,,,
928,1202,933,아름다운농원,KAKAO,317480,,,
928,1202,933,청림원,KAKAO,317483,,,
928,1202,933,엔젤녹즙기,KAKAO,317484,,,
928,1202,806,(주)금오디앤아이지점,KAKAO,317501,,,
928,1202,806,골든여행사,KAKAO,317513,,,
926,1207,200982,제일나염,KAKAO,318523,,,
928,1202,806,금샘플러스도어,KAKAO,318570,,,
928,1202,806,경원세기센추리,KAKAO,318590,,,
928,1202,806,한울이엔씨,KAKAO,319438,,,
928,1202,806,새연산업,KAKAO,319837,,,
928,1202,806,두성종합배관,KAKAO,319876,,,
928,1202,806,에프앤씨코리아(fnc코리아),KAKAO,319898,,,
928,1202,806,더스트헌터,KAKAO,319933,,,
928,1184,201090,동성철망공업 주식회사,KAKAO,319957,,,
928,1202,929,성지드림보험대리점,KAKAO,320022,,,
928,1202,806,디돌,KAKAO,321803,,,
928,1184,1548,현대탈수기,KAKAO,323277,,,
928,1184,9,(주)비즈제이,KAKAO,323538,,,
928,1184,917,팀스텔레콤,KAKAO,323848,,,
928,1184,362,플로우마스터코리아,KAKAO,326992,,,
928,1202,806,충남스틸(주),KAKAO,327036,,,
926,1207,200982,플로우시스템,KAKAO,327123,,,
927,1200,1012,한국아동요리지도자협회,KAKAO,327366,,,
926,964,1616,블루오토미션,KAKAO,330569,,,
928,1202,806,(주)이일코리아,KAKAO,337530,,,
928,1202,933,비씨워터젯,KAKAO,338844,,,
928,1202,806,자이로딕손,KAKAO,369642,,,
928,1202,806,한국전례 대전지원,KAKAO,391969,,,
928,1184,362,대전중기,KAKAO,427163,,,
928,1184,201022,예원특수인쇄,KAKAO,457524,,,
928,1184,201022,유디팩토리,KAKAO,461180,,,
928,1202,806,경림산업,KAKAO,468565,,,
928,1202,806,(주)비원오피스,모먼트,106966,,,
928,1202,201009,반려라이프,모먼트,117838,,,
928,935,2,(주)교원크리에이티브,모먼트,156715,,,
926,1207,201037,매드디자인,모먼트,189723,,,
928,966,1659,OCO,모먼트,229297,,,
926,1207,201011,리오홀딩스(저스트크래프트),모먼트,243069,,,
928,935,2,벨르랑코,모먼트,250983,,,
928,1202,81,올리비움산후조리원,모먼트,267424,,,
928,935,2,(주)미디어로그,모먼트,276004,,,
928,1184,1548,벨르랑코,모먼트,283638,,,
927,1200,566,스마트인피니,모먼트,334512,,,
926,1207,201037,꾸디,모먼트,401692,,,
928,1202,50,세렝게티,모먼트,414688,,,
928,1184,201004,광주랜드3공인중개사전문학원,모먼트,41929,,,
928,1184,200969,코스네이처,모먼트,424123,,,
928,1184,1639,풀무원,모먼트,435959,,,
926,1207,201071,슬립노마드,모먼트,445914,,,
928,966,201031,주식회사 디스피스,모먼트,452515,,,
927,1200,930,핸프,모먼트,453740,,,
928,1184,201022,골든비치리조트,모먼트,454992,,,
928,1202,933,프라이빗펜션,모먼트,466128,,,
928,966,1617,케이에프오(한국금융개발원),모먼트,51772,,,
928,1184,200990,(주)미디어로그,모먼트,53889,,,
926,1207,201037,제이케이식품(아침에한잔),모먼트,83005,,,
928,1202,25,샐러디,모먼트,99234,,,
